route_name,dir_id,day_type_id,day_type_name,time_period_name,stop_name,average_ons,average_offs,average_flow,ObjectId
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Airport,15,36,82,1
Blue Line,EB,day_type_01,Weekday,NIGHT,Government Center,341,1,365,2
Orange Line,NB,day_type_01,Weekday,EARLY_AM,Stony Brook,119,5,764,3
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Aquarium,13,8,145,4
Orange Line,NB,day_type_01,Weekday,EARLY_AM,Sullivan Square,20,118,245,5
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Beachmont,5,13,30,6
Orange Line,NB,day_type_01,Weekday,EARLY_AM,Tufts Medical Center,51,106,790,7
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Bowdoin,9,0,9,8
Orange Line,NB,day_type_01,Weekday,EARLY_AM,Wellington,8,61,106,9
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Government Center,58,1,66,10
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Maverick,25,39,108,11
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Assembly,12,272,466,12
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Back Bay,645,733,4212,13
Blue Line,EB,day_type_01,Weekday,NIGHT,Maverick,30,263,496,14
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Orient Heights,5,15,45,15
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Revere Beach,1,8,17,16
Blue Line,EB,day_type_01,Weekday,NIGHT,Orient Heights,6,120,376,17
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Chinatown,104,255,3744,18
Blue Line,EB,day_type_01,Weekday,NIGHT,Revere Beach,2,176,123,19
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,State,82,6,141,20
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Community College,21,505,987,21
Blue Line,EB,day_type_01,Weekday,NIGHT,State,219,11,575,22
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Suffolk Downs,2,2,41,23
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Downtown Crossing,449,1338,2784,24
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Wonderland,0,15,0,25
Blue Line,EB,day_type_01,Weekday,NIGHT,Suffolk Downs,1,21,388,26
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Forest Hills,2243,0,2243,27
Blue Line,EB,day_type_01,Weekday,NIGHT,Wonderland,0,123,0,28
Blue Line,EB,day_type_01,Weekday,VERY_EARLY_MORNING,Wood Island,4,26,54,29
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Green Street,557,24,2784,30
Blue Line,EB,day_type_01,Weekday,EARLY_AM,Airport,29,93,176,31
Blue Line,EB,day_type_01,Weekday,NIGHT,Wood Island,6,74,364,32
Blue Line,WB,day_type_01,Weekday,PM_PEAK,State,163,1389,1549,33
Blue Line,EB,day_type_01,Weekday,MIDDAY_SCHOOL,Beachmont,51,504,1251,34
Blue Line,WB,day_type_01,Weekday,EARLY_AM,Orient Heights,445,12,1739,35
Blue Line,WB,day_type_02,Saturday,OFF_PEAK,Wonderland,3690,0,3690,36
Orange Line,NB,day_type_01,Weekday,MIDDAY_SCHOOL,Green Street,325,21,1337,37
Blue Line,EB,day_type_01,Weekday,EARLY_AM,Aquarium,26,21,282,38
Blue Line,EB,day_type_02,Saturday,OFF_PEAK,Airport,1421,3648,10382,39
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Haymarket,62,292,1940,40
Blue Line,EB,day_type_01,Weekday,EARLY_AM,Beachmont,11,36,101,41
Blue Line,EB,day_type_02,Saturday,OFF_PEAK,Aquarium,2771,859,17656,42
Orange Line,NB,day_type_01,Weekday,MIDDAY_SCHOOL,Haymarket,186,314,3285,43
Orange Line,NB,day_type_01,Weekday,AM_PEAK,Jackson Square,829,53,4163,44
Blue Line,EB,day_type_01,Weekday,EARLY_AM,Bowdoin,25,0,25,45
Blue Line,EB,day_type_02,Saturday,OFF_PEAK,Beachmont,204,2213,5471,46
